approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
NO,YES,positive_juice_type,7290019056355,תפוזינה לימונענע 1.5 ליטר,,מיץ,"תפוזינה לימונענע 1.5 ליטר
תפוזינה | 1.5 ליטר
2 יח' ב- ‏12 ₪
‏7.30 ‏₪
‏4.87 ‏₪ / 1 ליטר
אלפרו שקדים ללא סוכר קר
אלפרו | 1 ליטר
במבצע ‏9.90 ₪
‏13.90 ‏₪
‏13.90 ‏₪ / 1 ליטר
סחוט תפוז 1 ליטר
פריגת | 1 ליטר
‏16.90 ‏₪
‏16.90 ‏₪ / 1 ליטר
משקה אקטיביה אפרסק 1.2% בודד
אקטיביה | 265 גרם
‏5.50 ‏₪
‏2.08 ‏₪ / 100 גרם
ספרינג נקטר מנגו פחית 330 מ""ל
ספרינג | 330 מ""ל
3 יח' ב- ‏12 ₪
‏4.90 ‏₪
‏1.48 ‏₪ / 100 מ""ל",תפוזינה לימונענע 1.5 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729001905635501-14-2025_13-55-56.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729001905635501-14-2025_13-55-56.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729001905635501-14-2025_13-55-56.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290003009640,סחוט תפוז 1 ליטר,,מיץ,"סחוט תפוז 1 ליטר
פריגת | 1 ליטר
‏16.90 ‏₪
‏16.90 ‏₪ / 1 ליטר",סחוט תפוז 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000300964007-27-2023_10-15-21.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000300964007-27-2023_10-15-21.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000300964007-27-2023_10-15-21.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290001247730,"ספרינג נקטר מנגו פחית 330 מ""ל",,מיץ,"ספרינג נקטר מנגו פחית 330 מ""ל
ספרינג | 330 מ""ל
3 יח' ב- ‏12 ₪
‏4.90 ‏₪
‏1.48 ‏₪ / 100 מ""ל","ספרינג נקטר מנגו פחית 330 מ""ל","https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000124773003-28-2024_14-17-19.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000124773003-28-2024_14-17-19.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000124773003-28-2024_14-17-19.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,,"מיץ לימון סיציליה 200 מ""ל",,מיץ,"מיץ לימון סיציליה 200 מ""ל
סיציליה | 200 מ""ל
‏7.90 ‏₪
‏3.95 ‏₪ / 100 מ""ל","מיץ לימון סיציליה 200 מ""ל","https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F6%2F76106842_s1_1502-16-2026_19-04-01.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F6%2F76106842_s1_1502-16-2026_19-04-01.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F6%2F76106842_s1_1502-16-2026_19-04-01.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290001247723,"ספרינג נקטר תות בננה פחית 330 מ""ל",,מיץ,"ספרינג נקטר תות בננה פחית 330 מ""ל
ספרינג | 330 מ""ל
3 יח' ב- ‏12 ₪
‏4.90 ‏₪
‏1.48 ‏₪ / 100 מ""ל","ספרינג נקטר תות בננה פחית 330 מ""ל","https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000124772304-01-2024_10-01-54.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000124772304-01-2024_10-01-54.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000124772304-01-2024_10-01-54.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290110325893,"תנובה גו אייס קפה 340 מ""ל",,מיץ,"תנובה גו אייס קפה 340 מ""ל
תנובה | 340 מ""ל
‏8.20 ‏₪
‏2.41 ‏₪ / 100 מ""ל
ספרינג קרטוניות תפוזים 1 ל'
ספרינג | 1 ליטר
‏5.90 ‏₪
‏5.90 ‏₪ / 1 ליטר
שוופס מוגז פירות תפוחים
שוופס | 1.5 ליטר
2 יח' ב- ‏10 ₪
‏7.30 ‏₪
‏4.87 ‏₪ / 1 ליטר
שוופס מוגז פירות תפוחים ללא סוכר 1.5 ליטר
שוופס | 1.5 ליטר
2 יח' ב- ‏10 ₪
‏7.30 ‏₪
‏4.87 ‏₪ / 1 ליטר
משקה אנרגיה מונסטר אולטרה 500 מ""ל
מונסטר | 500 מ""ל
‏8.50 ‏₪
‏1.70 ‏₪ / 100 מ""ל
יופלה משקה יוגורט טרופי 250 גרם
יופלה | 250 גרם
‏6.10 ‏₪
‏2.44 ‏₪ / 100 גרם
שוופס מוגז פירות לימונייד ללא סוכר 1.5 ליטר
שוופס | 1.5 ליטר
2 יח' ב- ‏10 ₪
‏7.30 ‏₪
‏4.87 ‏₪ / 1 ליטר
רד בול משקה אנרגיה מופחת קלוריות 250 מ""ל
רד בול | 250 מ""ל
4 יח' ב- ‏19 ₪
‏5.90 ‏₪
‏2.36 ‏₪ / 100 מ""ל
תפוזינה ענבים 0.5 ל'
תפוזינה | 500 מ""ל
3 יח' ב- ‏12 ₪
‏5.00 ‏₪
‏1.00 ‏₪ / 100 מ""ל
משקה קפה קר בסגנון מעודן 1.6%
יטבתה | 230 מ""ל
‏7.90 ‏₪
‏3.43 ‏₪ / 100 מ""ל
גו משקה חלב בטעם שוקולד ללא תוספת סוכר 340 מ""ל
תנובה | 340 מ""ל
‏8.20 ‏₪
‏2.41 ‏₪ / 100 מ""ל
משקה אנרגיה בלו אבטיח
Blu | 250 מ""ל
4 יח' ב- ‏12 ₪
‏3.90 ‏₪
‏1.56 ‏₪ / 100 מ""ל
ספרינג קרטוניות אפרסק 1 ל'
ספרינג | 1 ליטר
‏5.90 ‏₪
‏5.90 ‏₪ / 1 ליטר
ספרינג נקטר תות בננה פחית 330 מ""ל
ספרינג | 330 מ""ל
3 יח' ב- ‏12 ₪
‏4.90 ‏₪
‏1.48 ‏₪ / 100 מ""ל
ספרינג קרטוניות תפוחים 1 ל'
ספרינג | 1 ליטר
‏5.90 ‏₪
‏5.90 ‏₪ / 1 ליטר
שוופס מוגז פירות תות ליים 1.5 ליטר
שוופס | 1.5 ליטר
2 יח' ב- ‏10 ₪
‏7.30 ‏₪
‏4.87 ‏₪ / 1 ליטר
משקה קל תפוזים
פרימור | 1.5 ליטר
2 יח' ב- ‏11 ₪
‏6.50 ‏₪
‏4.33 ‏₪ / 1 ליטר
פיוזטי ענבים 1.5 ליטר
פיוז טי | 1.5 ליטר
‏8.60 ‏₪
‏5.73 ‏₪ / 1 ליטר","תנובה גו אייס קפה 340 מ""ל","https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110325893_s1_1501-26-2026_09-31-59.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110325893_s1_1501-26-2026_09-31-59.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290110325893_s1_1501-26-2026_09-31-59.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290004030100,100% מיץ תפוזים ולנסיה סחוט 1 ליטר פריני,,מיץ,"100% מיץ תפוזים ולנסיה סחוט 1 ליטר פריני
פרי ניב סחוט | 1 ליטר
‏15.90 ‏₪
‏15.90 ‏₪ / 1 ליטר",100% מיץ תפוזים ולנסיה סחוט 1 ליטר פריני,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290004030100_p106-05-2024_13-09-41.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290004030100_p106-05-2024_13-09-41.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290004030100_p106-05-2024_13-09-41.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290018925065,מיץ תפוזים סחוט 2 ליטר,,מיץ,"מיץ תפוזים סחוט 2 ליטר
פרימור | 2 ליטר
‏34.90 ‏₪
‏17.45 ‏₪ / 1 ליטר",מיץ תפוזים סחוט 2 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F4%2F14175766_7290018925065.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F4%2F14175766_7290018925065.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F4%2F14175766_7290018925065.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290000136523,ג'אמפ ענבים 1.5 ליטר,,מיץ,"ג'אמפ ענבים 1.5 ליטר
גאמפ | 1.5 ליטר
2 יח' ב- ‏11 ₪
‏6.90 ‏₪
‏4.60 ‏₪ / 1 ליטר
ספרינג קרטוניות תות בננה 1 ל'
ספרינג | 1 ליטר
‏5.90 ‏₪
‏5.90 ‏₪ / 1 ליטר
משקה שיבולת אורגני בריסטה
ויטאריז | 1 ליטר
2 יח' ב- ‏25 ₪
‏14.90 ‏₪
‏14.90 ‏₪ / 1 ליטר
מיץ חמוציות 1 ליטר
אושן ספריי | 1 ליטר
‏12.90 ‏₪
‏12.90 ‏₪ / 1 ליטר",ג'אמפ ענבים 1.5 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290000136523_s106-29-2022_13-36-56.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290000136523_s106-29-2022_13-36-56.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F7290000136523_s106-29-2022_13-36-56.jpg&w=384&q=75 2x"
NO,YES,positive_juice_type,7290008690713,מיץ חמוציות 1 ליטר,,מיץ,"מיץ חמוציות 1 ליטר
אושן ספריי | 1 ליטר
‏12.90 ‏₪
‏12.90 ‏₪ / 1 ליטר",מיץ חמוציות 1 ליטר,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000869071301-26-2026_08-17-33.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000869071301-26-2026_08-17-33.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F2%2F729000869071301-26-2026_08-17-33.jpg&w=384&q=75 2x"
