approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
NO,YES,positive_cheese_type,,גבינת קשקבל מחלב כבשים 27%,,גבינה צהובה,"גבינת קשקבל מחלב כבשים 27%
מעדניה חלבית | 1000 גרם
‏150.00 ‏₪
‏15.00 ‏₪ / 100 גרם",גבינת קשקבל מחלב כבשים 27%,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F7%2F47027.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F7%2F47027.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F7%2F47027.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה קשה 32% טל העמק מגורדת,,גבינה צהובה,"גבינה קשה 32% טל העמק מגורדת
מעדניה חלבית | 1000 גרם
‏74.00 ‏₪
‏7.40 ‏₪ / 100 גרם",גבינה קשה 32% טל העמק מגורדת,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F7%2F072dbeffa131c62faacfc936422e161dc6f818d73d0e70a70fef53ee558fa0b0.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F7%2F072dbeffa131c62faacfc936422e161dc6f818d73d0e70a70fef53ee558fa0b0.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F7%2F072dbeffa131c62faacfc936422e161dc6f818d73d0e70a70fef53ee558fa0b0.jpeg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינת גאודה טבעי 28%,,גבינה צהובה,"גבינת גאודה טבעי 28%
מעדניה חלבית | 1000 גרם
‏110.00 ‏₪
‏11.00 ‏₪ / 100 גרם",גבינת גאודה טבעי 28%,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F1258101.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F1258101.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F1258101.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינת גאודה 28%,,גבינה צהובה,"גבינת גאודה 28%
מעדניה חלבית | 1000 גרם
‏111.00 ‏₪
‏11.10 ‏₪ / 100 גרם",גבינת גאודה 28%,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2Ff%2F3%2Ff38b174bc7e32702decee05e16ce489d22228cf81dd56b2733a7d03ce1cc5075.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2Ff%2F3%2Ff38b174bc7e32702decee05e16ce489d22228cf81dd56b2733a7d03ce1cc5075.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2Ff%2F3%2Ff38b174bc7e32702decee05e16ce489d22228cf81dd56b2733a7d03ce1cc5075.jpeg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גאודה עיזים משולשים 30%,,גבינה צהובה,"גאודה עיזים משולשים 30%
גד | 1000 גרם
‏150.00 ‏₪
‏15.00 ‏₪ / 100 גרם",גאודה עיזים משולשים 30%,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F2%2F3%2F23813c0f9e1da4ec53319ec3f268253dd36d25ee23a99f6d0081b749b25a3491.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F2%2F3%2F23813c0f9e1da4ec53319ec3f268253dd36d25ee23a99f6d0081b749b25a3491.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F2%2F3%2F23813c0f9e1da4ec53319ec3f268253dd36d25ee23a99f6d0081b749b25a3491.jpeg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה קשה טל העמק 32% שומן,,גבינה קשה,"גבינה קשה טל העמק 32% שומן
מעדניה חלבית | 1000 גרם
‏74.00 ‏₪
‏7.40 ‏₪ / 100 גרם",גבינה קשה טל העמק 32%  שומן,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F5%2F3%2F53219.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F5%2F3%2F53219.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F5%2F3%2F53219.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה קשה פרמזן 23% שומן,,גבינה קשה,"גבינה קשה פרמזן 23% שומן
מעדניה חלבית | 1000 גרם
‏135.00 ‏₪
‏13.50 ‏₪ / 100 גרם",גבינה קשה פרמזן       23% שומן,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F6%2F46563.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F6%2F46563.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F6%2F46563.jpg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה חצי קשה גאודה 30%,,גבינה קשה,"גבינה חצי קשה גאודה 30%
מעדניה חלבית | 1000 גרם
‏89.00 ‏₪
‏8.90 ‏₪ / 100 גרם",גבינה חצי קשה גאודה 30%,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F2%2Ff%2F2f1a58a6a63c95f993cb57ce0880c6659f50dccf0a3302a467054f41d2cd7969.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F2%2Ff%2F2f1a58a6a63c95f993cb57ce0880c6659f50dccf0a3302a467054f41d2cd7969.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F2%2Ff%2F2f1a58a6a63c95f993cb57ce0880c6659f50dccf0a3302a467054f41d2cd7969.jpeg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינה קשה 32% טל העמק מגורדת,,גבינה קשה,"גבינה קשה 32% טל העמק מגורדת
מעדניה חלבית | 1000 גרם
‏74.00 ‏₪
‏7.40 ‏₪ / 100 גרם",גבינה קשה 32% טל העמק מגורדת,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F7%2F072dbeffa131c62faacfc936422e161dc6f818d73d0e70a70fef53ee558fa0b0.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F7%2F072dbeffa131c62faacfc936422e161dc6f818d73d0e70a70fef53ee558fa0b0.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F7%2F072dbeffa131c62faacfc936422e161dc6f818d73d0e70a70fef53ee558fa0b0.jpeg&w=384&q=75 2x"
NO,YES,positive_cheese_type,,גבינת גאודה הולנדית חצי קשה,,גבינה קשה,"גבינת גאודה הולנדית חצי קשה
מעדניה חלבית | 1000 גרם
‏79.00 ‏₪
‏90.00 ‏₪
‏7.90 ‏₪ / 100 גרם",גבינת גאודה הולנדית חצי קשה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F5%2F754fd1b886d6f1b54844d6ffe202fd215e1a1acb07fdf1d6ccf5d317ed7a834e.jpeg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F5%2F754fd1b886d6f1b54844d6ffe202fd215e1a1acb07fdf1d6ccf5d317ed7a834e.jpeg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F7%2F5%2F754fd1b886d6f1b54844d6ffe202fd215e1a1acb07fdf1d6ccf5d317ed7a834e.jpeg&w=384&q=75 2x"
