barcode,pool,score,grade,binding_cap,nova,fat_g,sodium_mg,context_flag,category,subtype
7290116936123,spoonable,64.0,C,68.0,4,1.0,31.0,,dairy_protein,
7290116936215,spoonable,58.4,C,68.0,4,,63.0,,dairy_protein,
7290116936222,spoonable,57.6,C,68.0,4,1.7,67.0,,dairy_protein,
7290116936581,spoonable,89.9,A,,2,2.0,33.0,,dairy_protein,
7290119370177,spoonable,68.0,B,68.0,4,0.0,38.0,,dairy_protein,
7290119370955,spoonable,68.0,B,68.0,4,0.0,38.0,,dairy_protein,
7290119372997,spoonable,68.0,B,68.0,4,0.0,38.0,,dairy_protein,
7290119377404,spoonable,67.2,B,68.0,4,2.0,54.0,,dairy_protein,
7290119377411,spoonable,72.0,B,72,3,2.0,49.0,,dairy_protein,
7290119377480,spoonable,78.6,B,94.8,3,3.7,88.0,,snack_bar_granola,
7290119380916,spoonable,58.5,C,94.8,3,1.5,30.0,,dairy_protein,
7290119384242,spoonable,68.0,B,68.0,4,0.0,77.0,,dairy_protein,
7290119385768,spoonable,82.0,A,94.8,3,7.0,155.0,,snack_bar_granola,
7290119386642,spoonable,65.6,B,94.8,3,3.0,52.0,,dairy_protein,
4068028,drinkable,52.3,C,72,3,3.5,280.0,,default,
4068035,drinkable,73.8,B,,2,3.0,170.0,,dairy_protein,
55329,drinkable,36.1,D,68.0,4,1.5,38.0,,dairy_protein,
55336,drinkable,36.6,D,68.0,4,1.5,39.0,,dairy_protein,
55343,drinkable,40.8,D,72,4,1.5,38.0,,dairy_protein,
58030,drinkable,35.2,D,60,4,1.5,41.0,,dairy_protein,
6664655,drinkable,55.7,C,87.2,4,1.6,30.0,,dairy_protein,
7290019635567,drinkable,57.8,C,94.8,3,3.0,80.0,,dairy_protein,
7290020711007,drinkable,68.3,B,94.8,3,3.5,53.0,,dairy_protein,
7290020711090,drinkable,69.0,B,94.8,3,3.5,55.0,,dairy_protein,
7290102031276,drinkable,49.5,D,87.2,4,1.5,30.0,,dairy_protein,
7290102393299,drinkable,77.2,B,,2,3.8,50.0,,dairy_protein,
7290105364678,drinkable,61.3,C,94.8,3,1.2,56.0,,dairy_protein,
7290105965738,drinkable,60.0,C,94.8,3,1.5,26.0,,dairy_protein,
7290107937542,drinkable,61.4,C,94.8,3,1.2,56.0,,dairy_protein,
7290107938396,drinkable,57.7,C,94.8,3,1.5,30.0,,dairy_protein,
7290110325114,drinkable,57.0,C,60,4,0.5,55.0,,dairy_protein,
7290110325121,drinkable,52.0,C,60,4,0.5,53.0,,dairy_protein,
7290110552244,drinkable,63.0,C,68.0,4,1.0,78.0,,dairy_protein,
7290110573737,drinkable,65.4,B,68.0,4,1.0,74.0,,dairy_protein,
7290115676051,drinkable,60.9,C,87.2,4,1.4,77.0,,dairy_protein,
7290116932774,drinkable,56.0,C,60,4,,52.0,,dairy_protein,
7290116934228,drinkable,56.0,C,60,4,0.5,60.0,,dairy_protein,
7290119380923,drinkable,55.7,C,87.2,4,1.6,30.0,,dairy_protein,
