barcode,name,pool,score,grade,binding_cap,caps_applied_count,nova,category,category_subtype,sodium_mg,fat_g,sugars_g,context_flag,evaluation_status
7290110328627,יוגורט GO קרמי בננה קרמל,spoonable,64.0,C,68.0,2,4,dairy_protein,,30.0,0.0,2.9,,standard
7290110328764,יוגורט GO קרמי תות,spoonable,64.0,C,68.0,2,4,dairy_protein,,30.0,0.0,3.1,,standard
7290110328788,יוגורט GO קרמי אפרסק,spoonable,65.0,B,68.0,1,4,dairy_protein,,30.0,0.0,,,standard
7290110329952,יוגורט GO סמיך טעם קוקוס,spoonable,64.0,C,68.0,2,4,dairy_protein,,31.0,0.4,,,standard
7290110558284,דנונה ביו מולטי 200 גרם,spoonable,82.6,A,,0,2,dairy_protein,,50.0,3.0,4.5,,standard
7290110561352,דנונה דל לקטוז 200 גרם,spoonable,80.8,A,,0,2,dairy_protein,,48.0,3.0,,,standard
7290110565527,דנונה פרו 20 גרם חלבון,spoonable,90.6,S,,0,2,dairy_protein,,35.0,1.5,3.4,,standard
7290110566975,דנונה פרו 20ג חלבון תות,spoonable,72.0,B,72,2,3,dairy_protein,,33.0,0.0,5.6,,standard
7290110573713,דנונה מולטי  צ'יה,spoonable,78.8,B,94.8,1,3,dairy_protein,,47.0,3.0,4.1,,standard
7290110578053,יוגורט קראנצ' פאפס דנונה 171 גרם,spoonable,57.4,C,72,2,3,dairy_protein,,121.0,7.2,14.8,,standard
7290110578572,יוגורט בטעם פטל,spoonable,54.8,C,94.8,1,3,dairy_protein,,30.0,1.5,5.0,,standard
7290112330352,דנונה פרו 20 גר וניל 0%,spoonable,72.0,B,72,2,3,dairy_protein,,33.0,0.0,5.6,,standard
7290112330390,דנונה פרו 20 גר פירות יער 0% שומן,spoonable,72.0,B,72,2,3,dairy_protein,,33.0,0.0,3.1,,standard
7290112336712,דנונה פרו 21 חלבון 0%,spoonable,92.6,S,,0,2,dairy_protein,,35.0,0.0,3.3,,standard
7290112341686,אקטיביה 3% מארז,spoonable,79.0,B,,0,2,dairy_protein,,50.0,3.0,4.3,,standard
7290112346629,יוגורט קראנצ קורנפלקס,spoonable,47.2,D,68.0,2,4,dairy_protein,,60.0,4.0,8.9,,standard
7290112346797,אקטיביה שיבולת שועל שזיף,spoonable,64.7,C,94.8,1,3,dairy_protein,,68.0,2.5,8.9,,standard
7290114310406,יוגורט מוקצף תות,spoonable,35.3,D,60,2,4,dairy_protein,,45.0,5.0,9.5,,standard
7290114310536,מולר אקטיב לייט וניל,spoonable,59.0,C,68.0,1,4,dairy_protein,,40.0,0.0,4.5,,standard
7290114311069,מולר אקטיב לבן0% 25חלבון,spoonable,89.9,A,,0,2,dairy_protein,,45.0,0.0,2.5,,standard
7290114311359,יוגורט פרופ קציפת מנגו,spoonable,39.0,D,68.0,2,4,dairy_protein,,55.0,3.0,9.7,,standard
7290114312424,יוגורט פרופ פסיפלורה,spoonable,37.6,D,60,2,4,dairy_protein,,50.0,3.8,9.0,,standard
7290114312431,יוגורט פרופ מלונענע,spoonable,37.0,D,60,2,4,dairy_protein,,40.0,3.1,9.8,,standard
7290114313070,יוגורט מוקצף אפרסק,spoonable,35.1,D,60,2,4,dairy_protein,,35.0,5.0,9.8,,standard
7290114314053,יוגורט מנגו 3% שומן,spoonable,45.5,D,68.0,2,4,dairy_protein,,40.0,3.0,9.9,,standard
7290114314060,יוגורט סימפלי אננס 3%,spoonable,41.4,D,68.0,2,4,dairy_protein,,40.0,3.0,9.7,,standard
7290114314503,יוגורט פרופ קציפת קיווי,spoonable,37.3,D,60,2,4,dairy_protein,,55.0,3.0,9.8,,standard
7290114314596,מולר פרוטאין טופ בוטנים,spoonable,68.2,B,87.2,1,4,dairy_protein,,50.0,5.0,7.0,,standard
7290115678222,דנונה יווני מארז,spoonable,76.9,B,,0,2,dairy_protein,,47.0,6.5,4.3,,standard
7290116932484,יוגורט GO אוורירי וניל,spoonable,68.0,B,68.0,2,4,dairy_protein,,30.0,1.0,,,standard
7290116934402,יוגורט אוורירי GO מנגו,spoonable,64.0,C,68.0,2,4,dairy_protein,,30.0,1.0,,,standard
7290116935614,יוגורט GO חלבון  25 גרם,spoonable,89.9,A,,0,2,dairy_protein,,72.0,2.0,,,standard
7290116935621,יוגורט חלבון קרמיGO וניל,spoonable,65.0,B,68.0,2,4,dairy_protein,,68.0,1.9,,,standard
7290116936123,יוגורט GO אוורירי דובדבן,spoonable,64.0,C,68.0,2,4,dairy_protein,,31.0,1.0,,,standard
7290116936215,יוגורט GO עוגת תפוחים,spoonable,58.4,C,68.0,2,4,dairy_protein,,63.0,,,,standard
7290116936222,יוגורט GO אננס מקורמל,spoonable,57.6,C,68.0,2,4,dairy_protein,,67.0,1.7,,,standard
7290116936581,יוגורט GO סמיך 20ג חלבון,spoonable,89.9,A,,0,2,dairy_protein,,33.0,2.0,3.0,,standard
7290119370177,"דנונה פרו לת""ס בננה טופי",spoonable,68.0,B,68.0,2,4,dairy_protein,,38.0,0.0,3.2,,standard
7290119370955,"דנונה פרו לל""ס וניל עוג.",spoonable,68.0,B,68.0,1,4,dairy_protein,,38.0,0.0,3.2,,standard
7290119372997,דנונה פרו 20 רול קינמון,spoonable,68.0,B,68.0,1,4,dairy_protein,,38.0,0.0,3.2,,standard
7290119377404,"דנונה פרו 25  לל""ס וניל",spoonable,67.2,B,68.0,2,4,dairy_protein,,54.0,2.0,3.9,,standard
7290119377411,דנונה פרו 25 גרם חלבון,spoonable,72.0,B,72,2,3,dairy_protein,,49.0,2.0,3.9,,standard
7290119380916,יוגורט פרוביוטי בטעם תות,spoonable,58.5,C,94.8,1,3,dairy_protein,,30.0,1.5,5.0,,standard
7290119384242,יוגורט פרו קרם לימון ללס,spoonable,68.0,B,68.0,2,4,dairy_protein,,77.0,0.0,3.2,,standard
7290119386642,יוגורט מולטי פירות יער,spoonable,65.6,B,94.8,1,3,dairy_protein,,52.0,3.0,4.7,,standard
4068035,אירן משקה יוגורט,drinkable,73.8,B,,0,2,dairy_protein,,170.0,3.0,3.3,,standard
55329,משקה יוגורט תות-מלון,drinkable,36.1,D,68.0,2,4,dairy_protein,,38.0,1.5,9.8,,standard
55336,משקה יוגורט בננה אפרסק,drinkable,36.6,D,68.0,2,4,dairy_protein,,39.0,1.5,9.6,,standard
55343,יופלה משקה יוגורט טרופי,drinkable,40.8,D,72,2,4,dairy_protein,,38.0,1.5,9.9,,standard
58030,יופלה שטוזים משקה תות,drinkable,35.2,D,60,2,4,dairy_protein,,41.0,1.5,8.0,,standard
6664655,אקטימל לבן מארז,drinkable,55.7,C,87.2,1,4,dairy_protein,,30.0,1.6,5.0,,standard
7290019635567,משקה יוגורט לאסי מנגו3%,drinkable,57.8,C,94.8,1,3,dairy_protein,,80.0,3.0,12.0,,standard
7290020711007,משקה יוגורט מלבי 3.5%,drinkable,68.3,B,94.8,1,3,dairy_protein,,53.0,3.5,4.8,,standard
7290020711090,משקה יוגורט אסאי קוקוס,drinkable,69.0,B,94.8,1,3,dairy_protein,,55.0,3.5,6.0,,standard
7290102031276,אקטימל תות בננה מארז,drinkable,49.5,D,87.2,1,4,dairy_protein,,30.0,1.5,5.0,,standard
7290102393299,יוגורט עיזים לשתייה,drinkable,77.2,B,,0,2,dairy_protein,,50.0,3.8,3.8,,standard
7290105364678,משקה אקטיביה אפרסק,drinkable,61.3,C,94.8,1,3,dairy_protein,,56.0,1.2,5.0,,standard
7290105965738,דנונה לשתיה תות בננה,drinkable,60.0,C,94.8,1,3,dairy_protein,,26.0,1.5,4.9,,standard
7290107937542,משקה אקטיביה תות 1.2%,drinkable,61.4,C,94.8,1,3,dairy_protein,,56.0,1.2,4.9,,standard
7290107938396,מארז אקטימל תות,drinkable,57.7,C,94.8,1,3,dairy_protein,,30.0,1.5,5.0,,standard
7290110325114,משקה יוגורט GO תות בננה,drinkable,57.0,C,60,2,4,dairy_protein,,55.0,0.5,3.6,,standard
7290110325121,משקה יוגורט GO מנגו אננס,drinkable,52.0,C,60,2,4,dairy_protein,,53.0,0.5,3.3,,standard
7290110552244,"משקה דנונה פרו20 ללת""ס",drinkable,63.0,C,68.0,2,4,dairy_protein,,78.0,1.0,3.6,,standard
7290110573737,משקה יוגורט פרו תות ללס,drinkable,65.4,B,68.0,2,4,dairy_protein,,74.0,1.0,3.4,,standard
7290115676051,משקה אקטיביה עם ש.שועל,drinkable,60.9,C,87.2,1,4,dairy_protein,,77.0,1.4,4.9,,standard
7290116932774,משקה יוגורט גו בננה קרמל,drinkable,56.0,C,60,2,4,dairy_protein,,52.0,,2.7,,standard
7290116934228,משקה יוגורט גו מלון תות,drinkable,56.0,C,60,2,4,dairy_protein,,60.0,0.5,,,standard
7290119380923,אקטימל לבן מארז,drinkable,55.7,C,87.2,1,4,dairy_protein,,30.0,1.6,5.0,,standard
