barcode,product_name_heb,energy_kcal_100g,protein_g_100g,carbs_g_100g,sugars_g_100g,fat_g_100g,saturated_fat_g_100g,fiber_g_100g,sodium_mg_100g,ingredients_raw_he,red_label_sugar,red_label_sodium,red_label_saturated_fat
7290101113874,שלישיית מעדן חלבון GO שקדים,212,14.1,15,9.4,9.5,5,3.9,117,"חלבון חלב, מים, שומן צמחי, שקדים, ציפוי בטעם שוקולד, ממתיקים, מייצבים, חומרי טעם וריח",FALSE,FALSE,TRUE
16000423534,קראנצ'י שוקולד מריר,473,8.7,61.5,26.8,19.8,3.4,7,259,"פתיתי שיבולת שועל מלאה, סוכר, שמנים צמחיים, שבבי שוקולד מריר, סירופ תירס, דבש, מולסה, לציטין, חומר טעם וריח",TRUE,FALSE,FALSE
