category,barcode,score_off,grade_off,score_on,grade_on,delta,has_phvo,has_phvo_generic,has_seed_oil
cakes_hard_cookies,313184,34.9,E,35.3,D,0.4,False,False,True
salty_snacks,8710908800018,49.6,D,50.0,C,0.4,False,False,True
