rule,count
NOVA_PROXY_4_ULTRA_PROCESSED,31
ISRAELI_RED_LABEL_1_SUGAR,24
SNACK_BAR_RED_SUGAR_LABEL,22
NOVA_PROXY_3_PROCESSED,15
HIGH_SUGAR_25G_PLUS,15
ADDITIVE_MARKERS_3_PLUS,15
ISRAELI_RED_LABELS_2_PLUS,13
ISRAELI_RED_LABEL_1_SAT_FAT,13
ADDITIVE_MARKERS_5_PLUS,12
SNACK_BAR_HIGH_CAL,12
HIGH_CAL_HIGH_SUGAR_MODERATE,4
SNACK_BAR_HIGH_CAL_SUGAR,4
