barcode,name,source,router_category,protein_g,old_score,old_grade,new_score,new_grade,delta,grade_crossed,cross_direction,old_binding_cap,new_binding_cap,newly_introduced_clip,committed_baseline_score,committed_baseline_grade,drift_vs_committed_baseline
7296073659952,קרקר דק כפרי,crackers,cracker,15.0,70.7,B,75.0,B,4.3,False,None,94.8,94.8,False,70.7,B,False
74252,קרקר שומשום אסם,crackers,cracker,11.0,59.3,C,63.4,C,4.1,False,None,94.8,94.8,False,59.3,C,False
74375,קרקר זהב אסם,crackers,cracker,8.0,49.4,D,51.7,C,2.3,True,D->C,94.8,94.8,False,49.4,D,False
8423207208871,פריכיות תירס בטעם טבעי,ricecakes,cracker,7.7,61.4,C,63.5,C,2.1,False,None,94.8,94.8,False,61.4,C,False
8434165658523,קרקר קרם קרקר,crackers,cracker,8.0,68.1,B,70.4,B,2.3,False,None,94.8,94.8,False,68.1,B,False
9322969000015,פריכיות תירס כשל"פ,ricecakes,cracker,10.2,72.0,B,75.5,B,3.5,False,None,None,None,False,72.0,B,False
9322969000022,פריכיות תירס +סויה כשל"פ,ricecakes,cracker,10.8,72.5,B,76.5,B,4.0,False,None,94.8,94.8,False,72.5,B,False
9322969000039,פריכיות תירס+דגנים כשלפ,ricecakes,cracker,10.6,69.8,B,73.6,B,3.8,False,None,94.8,94.8,False,69.8,B,False
9322969000046,פריכיות תירס אורגניות,ricecakes,cracker,10.7,76.5,B,80.4,A,3.9,True,B->A,None,None,False,76.5,B,False
96086000577,קרקר כוסמין אורגני,crackers,cracker,16.0,79.6,B,83.9,A,4.3,True,B->A,94.8,94.8,False,79.6,B,False
96086000966,קרקר כוסמין מלא ושומשום,crackers,cracker,16.0,81.6,A,86.0,A,4.4,False,None,None,None,False,81.6,A,False
