approved_for_scrape,suggested_decision,decision_reason,barcode,name,brand,query,card_text,image_alt,image_url_raw
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיף דגנים סיני מיניס 25*6,,חטיף דגנים,"חטיף דגנים סיני מיניס 25*6
סיני מיניס | 150 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",חטיף דגנים סיני מיניס 25*6,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12627525_5900020022325.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12627525_5900020022325.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12627525_5900020022325.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיף דגנים שוקו וניל נסטלה שישייה,,חטיף דגנים,"חטיף דגנים שוקו וניל נסטלה שישייה
קראנץ | 150 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",חטיף דגנים שוקו וניל נסטלה שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12606075_5900020020710.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12606075_5900020020710.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12606075_5900020020710.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיפי דגנים פיטנס קלאסי שישייה,פיטנס,חטיף דגנים,"חטיפי דגנים פיטנס קלאסי שישייה
פיטנס | 141 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏11.28 ‏₪ / 100 גרם",חטיפי דגנים פיטנס קלאסי שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505889_5900020039590.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505889_5900020039590.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505889_5900020039590.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,4.0118E+12,קורני חטיפי דגנים בוטנים מתוק מלוח,Corny,חטיף דגנים,"קורני חטיפי דגנים בוטנים מתוק מלוח
קורני | 150 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",קורני חטיפי דגנים בוטנים מתוק מלוח,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800528416_s1_1507-09-2025_07-38-41.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800528416_s1_1507-09-2025_07-38-41.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800528416_s1_1507-09-2025_07-38-41.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,4.0118E+12,קורני חטיפי דגנים קוקוס שוקולד,Corny,חטיף דגנים,"קורני חטיפי דגנים קוקוס שוקולד
קורני | 150 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",קורני חטיפי דגנים קוקוס שוקולד,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800632519.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800632519.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800632519.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיפי דגנים פיטנס שקדים ודבש שישייה,פיטנס,חטיף דגנים,"חטיפי דגנים פיטנס שקדים ודבש שישייה
פיטנס | 141 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏11.28 ‏₪ / 100 גרם",חטיפי דגנים פיטנס שקדים ודבש שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505916_5900020039620.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505916_5900020039620.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505916_5900020039620.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,7.29011E+12,חטיף דגנים מצופה שוקולד עם עוגיות בטעם קרמל וקרם נוגט טעמי,,חטיף דגנים,"חטיף דגנים מצופה שוקולד עם עוגיות בטעם קרמל וקרם נוגט טעמי
אנרג'י | 168 גרם
‏13.90 ‏₪
‏8.27 ‏₪ / 100 גרם",חטיף דגנים מצופה שוקולד עם עוגיות בטעם קרמל וקרם נוגט טעמי,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370314_7290107947466.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370314_7290107947466.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F3%2F7%2F370314_7290107947466.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,5.90002E+12,חטיפי דגנים פיטנס שוקולד בננה שישייה,פיטנס,חטיף דגנים,"חטיפי דגנים פיטנס שוקולד בננה שישייה
פיטנס | 141 גרם
2 יח' ב- ‏26 ₪
‏15.90 ‏₪
‏11.28 ‏₪ / 100 גרם",חטיפי דגנים פיטנס שוקולד בננה שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505888_5900020034021.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505888_5900020034021.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F1%2F2%2F12505888_5900020034021.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_pack,4.0118E+12,חטיף דגנים שוקולד חלב קרמל מלוח קורני שישייה,Corny,חטיף דגנים,"חטיף דגנים שוקולד חלב קרמל מלוח קורני שישייה
קורני | 138 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏11.52 ‏₪ / 100 גרם",חטיף דגנים שוקולד חלב קרמל מלוח קורני שישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800000349_s1_1507-09-2025_07-35-48.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800000349_s1_1507-09-2025_07-35-48.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800000349_s1_1507-09-2025_07-35-48.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,4.0118E+12,קורני חטיפי דגנים+שוקולד חלב,Corny,חטיף דגנים,"קורני חטיפי דגנים+שוקולד חלב
קורני | 150 גרם
2 יח' ב- ‏25 ₪
‏15.90 ‏₪
‏10.60 ‏₪ / 100 גרם",קורני חטיפי דגנים+שוקולד חלב,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800628512.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800628512.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F4%2F0%2F4011800628512.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,16000423534,קראנצ'י חטיף שיבולת שועל ושוקולד מריר חמישיה,Nature Valley,חטיף דגנים,"קראנצ'י חטיף שיבולת שועל ושוקולד מריר חמישיה
Nature Valley | 210 גרם
2 יח' ב- ‏18 ₪
‏14.90 ‏₪
‏7.10 ‏₪ / 100 גרם",קראנצ'י חטיף שיבולת שועל ושוקולד מריר חמישיה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000423534_s1_1512-29-2024_06-34-07.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000423534_s1_1512-29-2024_06-34-07.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000423534_s1_1512-29-2024_06-34-07.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,16000548503,קראנצ'י חטיף שיבולת שועל עם מייפל קנדי חמישייה,Nature Valley,חטיף דגנים,"קראנצ'י חטיף שיבולת שועל עם מייפל קנדי חמישייה
Nature Valley | 210 גרם
2 יח' ב- ‏18 ₪
‏14.90 ‏₪
‏7.10 ‏₪ / 100 גרם",קראנצ'י חטיף שיבולת שועל עם מייפל קנדי חמישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000548503_s1_1512-29-2024_06-31-32.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000548503_s1_1512-29-2024_06-31-32.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000548503_s1_1512-29-2024_06-31-32.jpg&w=384&q=75 2x"
YES,YES,explicit_bar_type_with_multipack_size,16000548404,קראנצ'י חטיף שיבולת שועל עם דבש חמישייה,Nature Valley,חטיף דגנים,"קראנצ'י חטיף שיבולת שועל עם דבש חמישייה
Nature Valley | 210 גרם
2 יח' ב- ‏18 ₪
‏14.90 ‏₪
‏7.10 ‏₪ / 100 גרם",קראנצ'י חטיף שיבולת שועל עם דבש חמישייה,"https://yochananof.co.il/_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000548404_s1_1512-29-2024_06-37-26.jpg&w=256&q=75 /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000548404_s1_1512-29-2024_06-37-26.jpg&w=256&q=75 1x, /_next/image?url=https%3A%2F%2Fapi.yochananof.co.il%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2F7d40ab1d2c85da43a7701c1338d70a16%2F0%2F1%2F016000548404_s1_1512-29-2024_06-37-26.jpg&w=384&q=75 2x"
