barcode,fat_label,fat_pct,protein,sat_fat,sugar,nova,weighted,live_score,live_grade,M1_displayed,M1_delta
7290014758681,1%,1,11.5,0.6,,2,89.76,90,A,90,0
4127077,3%,3,11.0,1.8,,2,88.82,89,A,89,0
4127329,5%,5,11.0,3.0,,2,87.03,87,A,87,0
2868996,5%,5,10.0,3.0,3.0,2,83.63,84,A,84,0
7290114310918,5%,5,10.1,3.0,3.0,3,79.88,77,B,77,0
7290011194246,5%,5,10.2,3.0,2.4,3,78.35,75,B,75,0
4127336,9%,9,10.5,5.4,,2,81.13,81,A,75,-6
7290116931241,12%,12,10.0,7.8,,2,76.4,76,B,75,-1
