pid,name,final_score,grade,category,category_confidence,secondary_category,nova
bsip1_16000423534,קראנצ'י חטיף שיבולת שועל ושוקולד מריר חמישיה,51.1,D,cereal,0.63,snack_bar_granola,3
bsip1_16000548909,קראנצ'י חטיף שיבולת שועל מיקס חמישייה,32.3,insufficient_data,cereal,0.63,snack_bar_granola,3
bsip1_5900020015174,חטיפי דגנים פיטנס שוקולד מריר שישייה,27.8,E,snack_bar_granola,0.57,cereal,4
bsip1_7290118427896,חטיפי פיטנס שיבולת שועל דבש 5*38 גרם,38.7,E,whole_food_fat,0.6,cereal,4
bsip1_8410076602251,קראנצ'י חטיף שיבולת שועל עם חתיכות בטעם שוקולד חמישייה.,43.9,D,cereal,0.63,snack_bar_granola,3
bsip1_8410076610386,נייצר וואלי פרוטאין בוטנים בציפוי קרמל מלוח רביעייה,46.1,D,whole_food_fat,0.63,snack_bar_granola,4
bsip1_8410076610492,נייצ'ר וואלי צ'ואי בוטנים קלויים חמישייה,36.8,E,whole_food_fat,0.56,cereal,4
bsip1_8423207206501,סלים דליס חטיף רב דגנים מצופה שוקולד לבן בטעם יוגורט,23.0,E,snack_bar_granola,0.52,dairy_protein,3
bsip1_8423207208260,מרבה סלים דליס שוקולד חלב ללא גלוטן חדש,56.7,C,whole_food_fat,0.48,snack_bar_granola,3
